0,Jackson Memorial Hospital University of Miami School of Medicine,317,16.5,adult
1,University of Wisconsin Hospital and Clinics,289,29.4,adult
2,Keck Hospital of USC,160,14.8,adult
3,Medical City Fort Worth,155,137.2,adult
4,Cleveland Clinic Florida Weston,121,55.0,adult
5,CHI St. Luke's Health Baylor College of Medicine Medical Center,119,13.3,adult
6,Rush University Medical Center,96,20.4,adult
7,Methodist Dallas Medical Center,82,23.3,adult
8,Albany Medical Center Hospital,50,20.3,adult
9,University of California at Los Angeles Medical Center,354,15.2,adult
